Portuguese,French
Abraço,Câlin
Abrigo,Abri
Água,Eau
Almoço,Déjeuner
Amigo,Ami
Aceitar,Accepter
Aliviar,Pour soulager
Amável,Gentil
Aniversário,Anniversaire
Aprender,Apprendre
Artístico,Artistique
Assistir,Participer
Atenção,Attention
Autêntico,Authentique
Aventura,Aventure
Benefício,Avantage
Brilhante,Brillant
Calor,Chaleur
Compreender,Comprendre
Confiança,Confiance
Consolar,Console
Coragem,Courage
Criatividade,La créativité
Decisão,Décision
Deleite,Traiter
Desafio,Défi
Desfrutar,Apprécier
Despertar,Éveil
Determinação,Détermination
Devoção,Dévouement
Diversão,Amusant
Energia,Énergie
Entender,Comprendre
Escolher,Choisir
Esperança,Espoir
Essência,Essence
Estrela,Étoile
Expressar,Exprimer
Fascinante,Fascinant
Felicidade,Bonheur
Fé,Foi
Generosidade,Générosité
Gratidão,Gratitude
Harmonia,Harmonie
Imaginação,Imagination
Independência,Indépendance
Inovação,Innovation
Insight,Aperçu
Lealdade,Loyauté
Libertar,Libérer
Liberdade,Liberté
Magia,la magie
Realizar,Accomplir
Reconhecimento,Reconnaissance
Respeito,Respect
Riqueza,Richesse
Sabedoria,Sagesse
Serenidade,Sérénité
Solidariedade,Solidarité
Tranquilidade,Tranquillité
Verdade,Vrai
Vitória,La victoire
Amor-próprio,L'amour de soi
Aprender,Apprendre
Aventura,Aventure
Bem-estar,Bien-être
Carinho,Gentillesse
Coexistência,Coexistence
Compreensão,Compréhension
Confiança,Confiance
Contentamento,Contentement
Convivência,Coexistence
Criatividade,La créativité
Descoberta,Découverte
Determinação,Détermination
Entusiasmo,Enthousiasme
Esperança,Espoir
Estabilidade,La stabilité
Felicidade,Bonheur
Generosidade,Générosité
Harmonia,Harmonie
Inovação,Innovation
Insight,Aperçu
Libertação,Libérer
Liberdade,Liberté
Prosperidade,Prospérité
Realização,La concrétisation
Reconhecimento,Reconnaissance
Resiliência,Résilience
Sabedoria,Sagesse
Serenidade,Sérénité
União,Unité
Vitalidade,Vitalité
Pão,Pain
Parque,Parc
Passeio,Tournée
Paz,Paix
Pensar,Pense
Pessoa,Personne
Piano,Piano
Pintar,Peinturer
Piscina,Piscine
Poesia,Poésie
Próximo,Suivant
Professor,Professeur
Pular,Sauter
Quarto,Chambre
Receber,Recevoir
Refeição,Collation
Relógio,Horloge
Respeito,Respect
Rio,Rivière
Risada,Rire
Saúde,Santé
Sentir,Sentir
Seu,Ton
Sol,Soleil
Sonhar,Rêver
Sorriso,Sourire
Trabalho,Travail
Universidade,Université
Universo,Univers
